id,n_pos,is_nv,is_nv_vuln_contradiction,has_Class01:ExternalBug,has_Class02:GasException,has_Class03:MishandledException,has_Class04:Timestamp,has_Class05:TransactionOrderDependence,has_Class06:UnusedReturn,has_Class07:WeakAccessMod,has_Class08:CallToUnknown,has_Class09:DenialOfService,has_Class10:IntegerUO,has_Class11:Reentrancy,has_Class12:NonVulnerable,in_tod_folder,in_wam_folder
000f21ac06aceb9cdd0575e82d0d85fc39bed0a7a1d71970ba1641666a44f530,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,False,True
00328ce57bbc14b33bd6695bc8eb32cdf2fb5f3a7d89ec14a42825e15d39df60,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,False,True
00bebc5be79d19e1b8b3f250dc39aebfa9a054baf5f8d61380438d92394c476a,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,False,True
011af72a910ac4acf367eef9e6b761e0980842c30d4e9809840f4141d5163ede,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,False,True
01299ac65733b5a3d774265fbfe8396b8611e5e3321855dbc541cd301e71fe5e,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,False,True
01ce4b291ad3ecd240be71870340051b755e74e91e05d5c5baa0d7830c1b75d4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,False,True
01d54579da446ae1e75cda808cd188438834fa6249b151269db0f9123c9ddc61,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,False,True
023849c38925e2af028a2eb4e1dc41afd7dc7a238195c1c2ae00438d1dae00e1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,False,True
02837c1944876b4fa860432c13f2d9b11a7fd94dae707c4143d1217dee66fc43,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,False,True
02c000a36dcd047f5738f5abfda07dc3b6d56fc44ea752c8f45b965f6fc04c1e,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,False,True
02cca3803b564ede11ccf9f303c9910b39c532061e7a8c3b773169bc3d3c140b,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,False,True
02d20bbd7e394ad5999a4cebabac9619732c343a4cac99470c03e23ba2bdc2bc,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,False,True
02e6295d8f522840f09b5194b3f023799ad6ed3306d9296005787e792224df20,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,False,True
02f99d2002c703f1669e358989f1663e1e38e96297dcb3bb70fb67b0d74fb877,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,False,True
031b4af5197ec30a926f48cf40e11a7dbc470048a21e4003b7a3c07c5dab1baa,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,False,True
03a3d955b8799a90f1ff5a39479fde8e618f8ca3282d5b187186f2cf361abd32,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,False,True
04222ea3e14cb1209b9726defe3efce5196b7afa0a959854a30401be41f4026d,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,False,True
043066daf2109523a7490d4bfad4766da5719950a2b5f96d192fc0537e84f32a,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,False,True
04a8708c3a481ced13845a30de522486895de0592222c29326d9139ec2b9df25,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,False,True
04d19fde0a08b17aca69491e714bea43565384d12a63626e08477662cc03780e,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,False,True
04edd1d7736883194af3ddb232c337e53d17bc93cfd2140c4f4c4e0d966798b1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,False,True
050a010ce24d0896056e9a36a1940738d38f469d644b3682cfcc47569739c525,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,False,True
058d5d43bf485bf78dda1ed4eaf8b78e3106f3c6364c625ead2cc3aeb1908237,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,False,True
