id,verdict,confidence,notes,class,src_len,path_ok
0035046c8bda0e0a296af7249ee5567c1066db5423819c3fdc4f587918fe704f,UNCERTAIN,0.4,s3:partial_dos_ambiguous,Class09:DenialOfService,1340,True
00720c4a23864ac81777d5cd1aa18229829b35ff099a808f05c366462b9f8b7e,UNCERTAIN,0.4,s3:partial_dos_ambiguous,Class09:DenialOfService,65371,True
006fd529199083a1f07308a099cb26cceaa074ab8740628b5be0f098b292a91e,UNCERTAIN,0.4,s3:partial_dos_ambiguous,Class09:DenialOfService,8234,True
000cba10cb2a7b7dd1b62c3ddc945fb7fb21c595ee8ecc61de9ab28df64932eb,UNCERTAIN,0.4,s3:partial_dos_ambiguous,Class09:DenialOfService,13781,True
000dc2b42309c147b6f74f680106d24b73a1be4e01b40ff04ef30fa6bbaaa587,UNCERTAIN,0.4,s3:partial_dos_ambiguous,Class09:DenialOfService,5739,True
00540717e7434a39b0535362afe9817d64b02d9885fd0cd8451767e12525af7b,UNCERTAIN,0.4,s3:partial_dos_ambiguous,Class09:DenialOfService,22482,True
003aebabdebb20d8a7def14e4a23b0fc9279e714d1dddd433f4c9dba99b7a6ba,UNCERTAIN,0.4,s3:partial_dos_ambiguous,Class09:DenialOfService,3387,True
00348d4c904c3496e451be23ccb3cfb9f11df65dbfc5d3e79672aec90869fc5c,UNCERTAIN,0.4,s3:partial_dos_ambiguous,Class09:DenialOfService,14634,True
00b0305253f8bec0572527623e533b4d01049b850ca7008349eaf1ac1b3d8ec5,UNCERTAIN,0.4,s3:partial_dos_ambiguous,Class09:DenialOfService,1747,True
00983eae4d562ccafd4bf9856c67d589bc2c96a98c7f3aa03dbf7e9b952ff531,UNCERTAIN,0.4,s3:partial_dos_ambiguous,Class09:DenialOfService,18970,True
00a13ea3bd10e8eb821ed47459f4d7d92f75a363fe86f6020f87a34f651f87cd,UNCERTAIN,0.4,s3:partial_dos_ambiguous,Class09:DenialOfService,9294,True
00c8d368bc494534c04c24be4f4eb811a8b8a88846e8d254df46f0665929f549,UNCERTAIN,0.4,s3:partial_dos_ambiguous,Class09:DenialOfService,61815,True
00e8c7d543d6b69730a80f981c19ef03af1aeeaea44eb4e53d524279aa4105fb,UNCERTAIN,0.4,s3:partial_dos_ambiguous,Class09:DenialOfService,40012,True
00f6ccc7a41e1fe2a81ca370fd1702cf1d30fddbd7d77dc902dc2b6d47289381,UNCERTAIN,0.4,s3:partial_dos_ambiguous,Class09:DenialOfService,11506,True
00c71d4ca4e701d3cac834dbbdddd68f6771e95d62cbf864256a54c34b642a09,UNCERTAIN,0.4,s3:partial_dos_ambiguous,Class09:DenialOfService,1452,True
00e4247608331f9f5432637d8052c647dd26a409e345b109e0260d8563c53279,UNCERTAIN,0.4,s3:partial_dos_ambiguous,Class09:DenialOfService,27680,True
00fbec6e140808c51dd1a052b4806944a2536cb7ac0d97be3f545b0f3da51d28,UNCERTAIN,0.4,s3:partial_dos_ambiguous,Class09:DenialOfService,20014,True
0129f49f6e0afb52b6633480563c9b41d011b35ae167d1c4d70fc11f89c006f7,UNCERTAIN,0.4,s3:partial_dos_ambiguous,Class09:DenialOfService,14149,True
012118dad841db0ac03c97071aa9e1a5a8800faeb7e3204718bb3d35ee7e9ae5,UNCERTAIN,0.4,s3:partial_dos_ambiguous,Class09:DenialOfService,847,True
014287eafbd0c1915e0d556932105c1f4679d14d7597bf930d0568e95443145c,UNCERTAIN,0.4,s3:partial_dos_ambiguous,Class09:DenialOfService,8679,True
012b9c1440f88c70dea7fe41794a5e1751332e05a0f2dcd514b324fd5e4bc1bd,UNCERTAIN,0.4,s3:partial_dos_ambiguous,Class09:DenialOfService,3113,True
0162ea9052bcfe28cd85f991461f240a73365028b6efc322623d7abff4583d41,UNCERTAIN,0.4,s3:partial_dos_ambiguous,Class09:DenialOfService,13081,True
01696f3f52a7098c73ca3f5726afe5656a9a1e08ebf56a8144b05679dfbb78a1,UNCERTAIN,0.4,s3:partial_dos_ambiguous,Class09:DenialOfService,15362,True
016347343ad2a62281149ded64e7898ebcf57c9b876fb9561efcaa58a633b9d8,UNCERTAIN,0.4,s3:partial_dos_ambiguous,Class09:DenialOfService,11508,True
01827eae88e991fb53ceaea9325b292a989ae7cae88e2a62cac27f7fb92ba6fc,UNCERTAIN,0.4,s3:partial_dos_ambiguous,Class09:DenialOfService,10648,True
01a2e696fa72bb95f725aaaf648197ec2a74290b205d8d2b0349349f227c0d85,UNCERTAIN,0.4,s3:partial_dos_ambiguous,Class09:DenialOfService,9904,True
01c46ebb76a09dd8b133c01af94eb7d548a5437be04fa5af842a84efa05db4cd,UNCERTAIN,0.4,s3:partial_dos_ambiguous,Class09:DenialOfService,10886,True
01b16c8e7e6f232a9c9480cf33786b392ebefa9b874bce8ede4a9b6140a9acfb,UNCERTAIN,0.4,s3:partial_dos_ambiguous,Class09:DenialOfService,3032,True
01ccdbd380be657c6fc555c75a90af9f337d72a541c01de5912b90fe945a595e,UNCERTAIN,0.4,s3:partial_dos_ambiguous,Class09:DenialOfService,24393,True
01c5fa0b21dc49e1739664aa2afb94aeb0d2d0c042dfdf1fde185c78aab3966c,UNCERTAIN,0.4,s3:partial_dos_ambiguous,Class09:DenialOfService,5992,True
01e880cfa2caa0a42abf346a4c59d57de6a6872459de5032515fd846e49cd8f1,UNCERTAIN,0.4,s3:partial_dos_ambiguous,Class09:DenialOfService,17533,True
01f4775fb7df3ed1998437a81df45629801c589f2f9c4f998cbac195a9d73516,UNCERTAIN,0.4,s3:partial_dos_ambiguous,Class09:DenialOfService,7375,True
01e74a260e99b41ec578f4454ee816ffee368bc40748ea3ebb9627716aaaa439,UNCERTAIN,0.4,s3:partial_dos_ambiguous,Class09:DenialOfService,5068,True
022b30839265115ab2b43d6923b4c571f16c25fd0f8cdff8e42abea4e87c2123,UNCERTAIN,0.4,s3:partial_dos_ambiguous,Class09:DenialOfService,20333,True
0250ad496b6bc1802db62334fee7dac6f7e3a4bc975597d6c9509fd9174f0ffa,UNCERTAIN,0.4,s3:partial_dos_ambiguous,Class09:DenialOfService,24267,True
025acdd3b8b9414a477ce84bc17426c48925d24fff6c3eef9751791cd9d17a0e,UNCERTAIN,0.4,s3:partial_dos_ambiguous,Class09:DenialOfService,6270,True
025e497dabded5424075469d61b4f5dba8784d26eae3fb0f924a0f571264f456,UNCERTAIN,0.4,s3:partial_dos_ambiguous,Class09:DenialOfService,17086,True
0282809dcaab7c41c5c9a56d39fe15c82004235093272ac2f84bbff3fbe9e1d8,UNCERTAIN,0.4,s3:partial_dos_ambiguous,Class09:DenialOfService,23855,True
02d3ea2e91c18397427af295047b4503dbc151332ac8b45463f275d6e8341674,UNCERTAIN,0.4,s3:partial_dos_ambiguous,Class09:DenialOfService,8138,True
02b21931b94210ff473c1f2a69f2363264fa4bddd448353f34f830deda70b1af,UNCERTAIN,0.4,s3:partial_dos_ambiguous,Class09:DenialOfService,63098,True
0297edb68a8f40d43181bbc7420424773d8815abafb0e7666c03ba365101a562,UNCERTAIN,0.4,s3:partial_dos_ambiguous,Class09:DenialOfService,21206,True
02f17cf96eb57e7793ccf42da637712e061740c0f7e7e748d230e05a9436fe43,UNCERTAIN,0.4,s3:partial_dos_ambiguous,Class09:DenialOfService,9233,True
02f224d05605f1489c228a863ea636db1b4a64be8b6d17e8856df192ecc97e8c,UNCERTAIN,0.4,s3:partial_dos_ambiguous,Class09:DenialOfService,20247,True
02f9cb8e42504a3920d6987bf45521b02b4a170cf11e6d1e3f1ed4b79141aa7f,UNCERTAIN,0.4,s3:partial_dos_ambiguous,Class09:DenialOfService,10557,True
02ff24d0dc350bfbd7b180d7582aedb11842b52dcbd6ae4ecfd66c10830ff810,UNCERTAIN,0.4,s3:partial_dos_ambiguous,Class09:DenialOfService,12589,True
02fd1d493c3bcc91d62ba3d3d74a9944d18e4efc82fe4782e2a7d38db098d320,UNCERTAIN,0.4,s3:partial_dos_ambiguous,Class09:DenialOfService,40377,True
03282a8bab7ba31e1f44d0cba19dd074ce643dce042b47b15f8f369331e35b34,UNCERTAIN,0.4,s3:partial_dos_ambiguous,Class09:DenialOfService,3549,True
0337437de07bcbec1c055251be1ae8d22dc115e48369dc5f6ccd81999ee940f2,UNCERTAIN,0.4,s3:partial_dos_ambiguous,Class09:DenialOfService,27938,True
035d6e7a0adbe068512945e0b12286cdf4e018fa34f506d7b075ffb91316da8e,UNCERTAIN,0.4,s3:partial_dos_ambiguous,Class09:DenialOfService,3158,True
033e6565d6e8c3149c51b00e615048c5b624b9749edeb0cac1caf37d1ac77942,UNCERTAIN,0.4,s3:partial_dos_ambiguous,Class09:DenialOfService,9265,True
0367746e917e8a5b6f7a28d38ccb5438d213c6f4ef391b60f10d1a12dde2d61f,UNCERTAIN,0.4,s3:partial_dos_ambiguous,Class09:DenialOfService,11028,True
0366ad771052d38c1131beabb27b2cda3f4996476d0ade3cf4c5d155a2c39d2e,UNCERTAIN,0.4,s3:partial_dos_ambiguous,Class09:DenialOfService,15916,True
03904e1e4410561ff6aee043e70c5eb55e0e91aa00dd889a08c7f229c8414088,UNCERTAIN,0.4,s3:partial_dos_ambiguous,Class09:DenialOfService,30247,True
0376cfc9dd0f8639c48d0c54e4c555a1f5028248d3a36a4fdb09dfdab57ec502,UNCERTAIN,0.4,s3:partial_dos_ambiguous,Class09:DenialOfService,5758,True
039386ea113eacf24326e55b4f211ef17724ddbd77d52ae5602b76706c80336f,UNCERTAIN,0.4,s3:partial_dos_ambiguous,Class09:DenialOfService,1041,True
0391c2b09c53841711d7a6ead2f4082caf07d6ad8acbd17140c825d2c5b403a4,UNCERTAIN,0.4,s3:partial_dos_ambiguous,Class09:DenialOfService,17478,True
03bca4a1ab5c20ca657657e4e908376df9724b58a01126a518ae9d341b0dd1e5,UNCERTAIN,0.4,s3:partial_dos_ambiguous,Class09:DenialOfService,21865,True
03ef589dd4283d1e93cb68e2320c535e285401833a97b807deddd3de5ebb738e,UNCERTAIN,0.4,s3:partial_dos_ambiguous,Class09:DenialOfService,1092,True
0413d90cfa90eb4867af92b59b4165566ccd728524195417b3cefe53bd6c124d,UNCERTAIN,0.4,s3:partial_dos_ambiguous,Class09:DenialOfService,9469,True
044a3a1747e34083b988e65099e88d0426eab6e320691218ce398eaed5ebd6b8,UNCERTAIN,0.4,s3:partial_dos_ambiguous,Class09:DenialOfService,36725,True
045e232ef143fc3a540c950771c45c2ac78075ac85088ea4e0656f1b3f77acb4,UNCERTAIN,0.4,s3:partial_dos_ambiguous,Class09:DenialOfService,4721,True
0443ecb8233a5aa51ba60327d3c115c427886ea1930f379aa23741aaeb0aad00,UNCERTAIN,0.4,s3:partial_dos_ambiguous,Class09:DenialOfService,1825,True
045c1f049d7e63fd005b5d38ba6640788ddc22b96e598b4f3284a2d239270714,UNCERTAIN,0.4,s3:partial_dos_ambiguous,Class09:DenialOfService,2552,True
0477adfcdd327d6640d490b1c2b0c991fc5c58f03623bcd3c9e207dea4e11581,UNCERTAIN,0.4,s3:partial_dos_ambiguous,Class09:DenialOfService,13710,True
0479662859dc6a94ff225da4d1490085234edabc4478a2508d44a407ce446766,UNCERTAIN,0.4,s3:partial_dos_ambiguous,Class09:DenialOfService,22555,True
047c226edd2043183cddeb7f84c88ebaa5ff1f0030050d49d1ff0625cfa339c7,UNCERTAIN,0.4,s3:partial_dos_ambiguous,Class09:DenialOfService,11429,True
048a323f9f16c9425e4094cf03dba5d59514f0d2dfee64d58c8a9c9192d13903,UNCERTAIN,0.4,s3:partial_dos_ambiguous,Class09:DenialOfService,44689,True
04c80a25336cdc1f00a23c09c2eb1f8b1aac79bbd0bc22575dd6e8babeae028a,UNCERTAIN,0.4,s3:partial_dos_ambiguous,Class09:DenialOfService,3031,True
04bba471e494e03a5ad27a5a709b11e46bd0070bb0c5a40fac7551d607a8cab2,UNCERTAIN,0.4,s3:partial_dos_ambiguous,Class09:DenialOfService,7795,True
053264a50febb62b6500f1ddfef447f11de7d1e4867d3544d6ec44bd6446cbdc,UNCERTAIN,0.4,s3:partial_dos_ambiguous,Class09:DenialOfService,1500,True
05370a52f3d530e373e5efe23e097a35cf3835738c6b11c21493841b57303e8e,UNCERTAIN,0.4,s3:partial_dos_ambiguous,Class09:DenialOfService,9162,True
05752a2329f160a0d75f77ff53f6f72f57583ded0bb09bf48141da6bb67a8977,UNCERTAIN,0.4,s3:partial_dos_ambiguous,Class09:DenialOfService,6475,True
052c137e2d8121a7da8a1853bc117058d7865dde7fbc3b8295973e3b852672b6,UNCERTAIN,0.4,s3:partial_dos_ambiguous,Class09:DenialOfService,8577,True
