id,primary_class,n_pos,bccc_folder,bccc_file_path,loc,n_functions,n_events,n_modifiers,vuln_set,Class01:ExternalBug,Class02:GasException,Class03:MishandledException,Class04:Timestamp,Class06:UnusedReturn,Class08:CallToUnknown,Class09:DenialOfService,Class10:IntegerUO,Class11:Reentrancy,Class12:NonVulnerable
00333aa3376bcd06c4dbab0b5ae3a5b5ca46c8f64c297e119fa63f29455969a3,CallToUnknown,3,CallToUnknown,BCCC-SCsVul-2024/Source Codes/CallToUnknown/00333aa3376bcd06c4dbab0b5ae3a5b5ca46c8f64c297e119fa63f29455969a3.sol,232,22,0,7,"('Class08:CallToUnknown', 'Class11:Reentrancy')",0,0,0,0,0,1,0,0,1,1
007ccde4ee5b3120fbaf87ac4f979bee1defb9365b49d60bdd5216d7da11ebad,CallToUnknown,3,CallToUnknown,BCCC-SCsVul-2024/Source Codes/CallToUnknown/007ccde4ee5b3120fbaf87ac4f979bee1defb9365b49d60bdd5216d7da11ebad.sol,544,47,9,3,"('Class08:CallToUnknown', 'Class11:Reentrancy')",0,0,0,0,0,1,0,0,1,1
00da2433110f209c16e4f3fb55b73565fa166b5bc0daea25f20b96adace9ca88,CallToUnknown,3,CallToUnknown,BCCC-SCsVul-2024/Source Codes/CallToUnknown/00da2433110f209c16e4f3fb55b73565fa166b5bc0daea25f20b96adace9ca88.sol,137,13,2,0,"('Class08:CallToUnknown', 'Class11:Reentrancy')",0,0,0,0,0,1,0,0,1,1
010fd936ffdd39680a6ee5c5c945e7b177a2a08be3fe476520748ab6a977a6d2,CallToUnknown,3,CallToUnknown,BCCC-SCsVul-2024/Source Codes/CallToUnknown/010fd936ffdd39680a6ee5c5c945e7b177a2a08be3fe476520748ab6a977a6d2.sol,136,13,2,0,"('Class08:CallToUnknown', 'Class11:Reentrancy')",0,0,0,0,0,1,0,0,1,1
01c2258bf0f526e1df763790032e7ba30de056fe74beb63a3be4819502639594,CallToUnknown,3,CallToUnknown,BCCC-SCsVul-2024/Source Codes/CallToUnknown/01c2258bf0f526e1df763790032e7ba30de056fe74beb63a3be4819502639594.sol,137,13,2,0,"('Class08:CallToUnknown', 'Class11:Reentrancy')",0,0,0,0,0,1,0,0,1,1
024276a72e21b882d97d8449a5d93390adf0b64007a941ab09e8d4c8fa15a974,IntegerUO,2,IntegerUO,BCCC-SCsVul-2024/Source Codes/IntegerUO/024276a72e21b882d97d8449a5d93390adf0b64007a941ab09e8d4c8fa15a974.sol,85,11,2,0,"('Class10:IntegerUO',)",0,0,0,0,0,0,0,1,0,1
02486424d59ed744b32341246bedc391f8b7cc58ec08bd663331152b78f9afd4,CallToUnknown,3,CallToUnknown,BCCC-SCsVul-2024/Source Codes/CallToUnknown/02486424d59ed744b32341246bedc391f8b7cc58ec08bd663331152b78f9afd4.sol,137,13,2,0,"('Class08:CallToUnknown', 'Class11:Reentrancy')",0,0,0,0,0,1,0,0,1,1
02f68146dae0f3cdd548ee9d263b03d8f7ce97e9931f369f1396681452c09f0f,CallToUnknown,3,CallToUnknown,BCCC-SCsVul-2024/Source Codes/CallToUnknown/02f68146dae0f3cdd548ee9d263b03d8f7ce97e9931f369f1396681452c09f0f.sol,410,19,10,9,"('Class08:CallToUnknown', 'Class11:Reentrancy')",0,0,0,0,0,1,0,0,1,1
031d5e56ed8d020c0e3d6880e5f697454f148b45a8ac00b3455ac29c35c2642c,CallToUnknown,3,CallToUnknown,BCCC-SCsVul-2024/Source Codes/CallToUnknown/031d5e56ed8d020c0e3d6880e5f697454f148b45a8ac00b3455ac29c35c2642c.sol,1726,118,4,8,"('Class08:CallToUnknown', 'Class11:Reentrancy')",0,0,0,0,0,1,0,0,1,1
03259317e33921ee4bca0182b5fd0d928e05aecb6ed92083d3c9b22a4b5b20fc,CallToUnknown,3,CallToUnknown,BCCC-SCsVul-2024/Source Codes/CallToUnknown/03259317e33921ee4bca0182b5fd0d928e05aecb6ed92083d3c9b22a4b5b20fc.sol,108,13,2,0,"('Class08:CallToUnknown', 'Class11:Reentrancy')",0,0,0,0,0,1,0,0,1,1
0339fd5700a29ef1832845940cecf2c4b10beb2b756ffc4dea39bd3060871770,CallToUnknown,3,CallToUnknown,BCCC-SCsVul-2024/Source Codes/CallToUnknown/0339fd5700a29ef1832845940cecf2c4b10beb2b756ffc4dea39bd3060871770.sol,137,13,2,0,"('Class08:CallToUnknown', 'Class11:Reentrancy')",0,0,0,0,0,1,0,0,1,1
0341037006feb0375f0f934e8479f540e954a7e8b00dfc6eaadf37c3cdd92d72,CallToUnknown,3,CallToUnknown,BCCC-SCsVul-2024/Source Codes/CallToUnknown/0341037006feb0375f0f934e8479f540e954a7e8b00dfc6eaadf37c3cdd92d72.sol,142,13,2,0,"('Class08:CallToUnknown', 'Class11:Reentrancy')",0,0,0,0,0,1,0,0,1,1
0368a48a1fd711a64e9c2a8b1c08c9cf70f19dc47396b85c609ef49ac59eecce,CallToUnknown,3,CallToUnknown,BCCC-SCsVul-2024/Source Codes/CallToUnknown/0368a48a1fd711a64e9c2a8b1c08c9cf70f19dc47396b85c609ef49ac59eecce.sol,137,13,2,0,"('Class08:CallToUnknown', 'Class11:Reentrancy')",0,0,0,0,0,1,0,0,1,1
038c927f4c6536673a82c81eb8bf43d759100372282aa16f305e61537243a2b6,IntegerUO,2,IntegerUO,BCCC-SCsVul-2024/Source Codes/IntegerUO/038c927f4c6536673a82c81eb8bf43d759100372282aa16f305e61537243a2b6.sol,141,22,5,3,"('Class10:IntegerUO',)",0,0,0,0,0,0,0,1,0,1
038ce3bf42824546ac5d2efb60bfc4ff45a357e62d3764862c2c1f39601a2d0e,CallToUnknown,3,CallToUnknown,BCCC-SCsVul-2024/Source Codes/CallToUnknown/038ce3bf42824546ac5d2efb60bfc4ff45a357e62d3764862c2c1f39601a2d0e.sol,137,13,2,0,"('Class08:CallToUnknown', 'Class11:Reentrancy')",0,0,0,0,0,1,0,0,1,1
03c9f2168ddbb7bfafb2bd909c5a27c188c942e48dca7baecec5373cf561555a,CallToUnknown,3,CallToUnknown,BCCC-SCsVul-2024/Source Codes/CallToUnknown/03c9f2168ddbb7bfafb2bd909c5a27c188c942e48dca7baecec5373cf561555a.sol,131,13,2,0,"('Class08:CallToUnknown', 'Class11:Reentrancy')",0,0,0,0,0,1,0,0,1,1
043199776826c8f36fbb23a594c2464f9891f0fcc2d239f9b939c16088a01112,CallToUnknown,3,CallToUnknown,BCCC-SCsVul-2024/Source Codes/CallToUnknown/043199776826c8f36fbb23a594c2464f9891f0fcc2d239f9b939c16088a01112.sol,335,28,4,5,"('Class08:CallToUnknown', 'Class11:Reentrancy')",0,0,0,0,0,1,0,0,1,1
047b1765cb92f403300ed7e0b07a71d0bcb4dca61a5bfc68b472dd353da74b5d,CallToUnknown,3,CallToUnknown,BCCC-SCsVul-2024/Source Codes/CallToUnknown/047b1765cb92f403300ed7e0b07a71d0bcb4dca61a5bfc68b472dd353da74b5d.sol,139,17,2,1,"('Class08:CallToUnknown', 'Class11:Reentrancy')",0,0,0,0,0,1,0,0,1,1
